icao,name,lon,lat,type,municipality
SJT3,Colombo Airstrip,-49.224444,-5.377222,small_airport,Marabá
SJT7,São Silvestre Airstrip,-44.958109,-14.391719,small_airport,Cocos
SJT9,Fazenda Lince Airport,-53.477082,-15.972208,small_airport,Tesouro
SJTB,Fazenda Buriti Airport,-55.622501,-15.465000,small_airport,Chapada Dos Guimarães
SJTD,Plaza JK Heliport,-46.684444,-23.590555,heliport,São Paulo
SJTF,Fazenda Mequens Airport,-62.257500,-13.061944,small_airport,Alta Floresta D`Oeste
SJTH,Fazenda Pôr do Sol,-47.370750,-16.249545,small_airport,Paraúna
SJTL,Aero Agrícola Gaivota Airport,-51.548611,-22.978611,small_airport,Jaguapitã
SJTM,Santa Cecília Airport,-50.988335,-20.887777,small_airport,Mirandópolis
SJTP,Tapurah Airport,-56.502102,-12.722894,small_airport,Tapurá
SJTS,Terra Santa Airport,-56.488888,-2.072778,small_airport,Terra Santa
SJTT,Fazenda Lagoa do Barro Airport,-49.709442,-13.238611,small_airport,Novo Planalto
SJTU,Fazenda Tucano Airport,-57.559444,-13.582778,small_airport,Campo Novo Do Parecis
SJTV,Tivoli Center Heliport,-46.736580,-23.628636,heliport,São Paulo
SJTX,Fazenda Nelore Heliport,-45.273335,-3.731389,heliport,Bela Vista Do Maranhão
SJTY,Gran Meliá Mofarrej Heliport,-46.655834,-23.564167,heliport,São Paulo
SJTZ,Dom Eliseu Airport,-47.581669,-4.302778,small_airport,Dom Eliseu
SJU2,Fazenda Alvorada Airport,-57.282509,-19.868108,small_airport,Corumbá
SJU4,Fazenda Mangabinha Airport,-56.034008,-18.649585,small_airport,Corumbá
SJU6,Fazenda Retiro Novo Airstrip,-57.207301,-20.145815,small_airport,Corumbá
SJU7,Fazenda Lua Nova Airstrip,-59.649181,-14.451169,small_airport,Nova Lacerda
SJU8,Fazenda Guariba Airstrip,-51.798889,-9.893333,small_airport,Vila Rica
SJU9,Fazenda Alegre Airport,-49.703703,-16.025536,small_airport,Itaberaí
SJUA,Fazenda Ipanema Airport,-46.137900,-13.621507,small_airport,Correntina
SJUB,Fazenda Rio Azul Airport,-60.221668,-15.183333,small_airport,Vila Bela Da Santíssima Trindade
SJUE,Ecological Center Heliport,-46.874722,-23.534721,heliport,Barueri
SJUF,Silvestre Heliport,-51.888332,0.856111,heliport,Pedra Branca Do Amapari
SJUG,SPEL Embalagens Helipad,-46.652976,-23.059775,heliport,Atibaia
SJUH,Fazenda Lagoinha Airport,-47.497780,-19.238611,small_airport,Pedrinópolis
SJUI,Fazenda São Francisco Heliport,-47.008821,-22.382795,heliport,Mogi Mirim
SJUJ,Fazenda Juína Airport,-59.256831,-13.440685,small_airport,Campos De Júlio
SJUL,Fazenda Rio Pardo Airport,-49.037777,-22.877777,small_airport,Iaras
SJUN,Unimed - Nordeste Helipad,-51.200817,-29.164722,heliport,Caxias Do Sul
SJUQ,Fazenda Vista Alegre Airport,-52.606647,-19.739436,small_airport,Água Clara
SJUR,Fazenda Reunidas Airport,-54.103724,-13.483526,small_airport,Paranatinga
SJUS,Fazenda Acará Airport,-51.158890,-15.074444,small_airport,Britânia
SJUT,Cimento Rio Branco Heliport,-49.319300,-25.195400,heliport,Rio Branco do Sul
SJUU,Fazenda Paraná Airport,-46.871113,-14.028056,small_airport,Nova Roma
SJUW,CPFL Sede Heliport,-47.044998,-22.857779,heliport,Campinas
SJUX,MBP - Metalúrgica Barra do Piraí Heliport,-43.851665,-22.476389,heliport,Barra Do Piraí
SJUY,Sinal Empreendimentos Heliport,-41.934444,-22.488333,heliport,Rio Das Ostras
SJUZ,Santo Aleixo Heliport,-46.791943,-22.920834,heliport,Morungaba
